Resource ID	Ref ID	URI	Container Indicator 1	Container Indicator 2	Container Indicator 3	Title	Component ID
MSS.276	0426091c016ffcd5134b8daf3f6473a7	/repositories/3/archival_objects/732929	4, Digitized Access Files	8, cuid4679	""	Episode 8: Teresa Costa Reads Biker Lifestyles	cuid4679
MSS.276	fcf4f7e6d2d9db4f6ed135a35f9a8006	/repositories/3/archival_objects/732930	2, Digitized Access Files	32, cuid4680	""	Episode 32: Muriel Dimen Reads Cosmo 	cuid4680
MSS.276	f1a63f995182581c842b42bd3189b35f	/repositories/3/archival_objects/732931	2, Digitized Access Files	34, cuid4681	""	Episode 34: Tom Weinberg Reads Wall Street Journal 	cuid4681
MSS.276	6fbde4a0a9d8d4703059d0e3c187ac7b	/repositories/3/archival_objects/732932	4, Digitized Access Files	41b, cuid4682	""	Episode 41: Elayne Rapping Reads Romance Novels 	cuid4682
MSS.276	1e7817fe1459b5ec491a07cadadde622	/repositories/3/archival_objects/732933	4, Digitized Access Files	43, cuid4683	""	Episode 43: Sandinista TV Part 2 	cuid4683
MSS.276	3016dd6ec5b719c19418b2a61719449e	/repositories/3/archival_objects/732935	4, Digitized Access Files	66, cuid4685	""	Episode 66: Video Art Special 	cuid4685
MSS.276	36ae54545f3e20cc0816ad033b41273f	/repositories/3/archival_objects/732936	4, Digitized Access Files	68 , cuid4686	""	Episode 68: How Nations Televise Each Other 	cuid4686
MSS.276	dc2e3db3740a161d05d69b57c3e4d8eb	/repositories/3/archival_objects/732937	2, 15, Digitized Access Files	72, 72, cuid4687	""	Episode 72: Flo Kennedy on US Press on South Africa 	cuid4687
MSS.276	0fa1e168626b008f836497cacf79acd2	/repositories/3/archival_objects/732941	2, Digitized Access Files	80, cuid4691	""	Episode 80: Doudou Dienne on the New World Information Order 	cuid4691
MSS.276	6d32012ecd4e3c08a6cb16e39031c216	/repositories/3/archival_objects/732942	3, Digitized Access Files	87, cuid4692	""	Episode 87: Noam Chomsky Reads The New York Times: Central America In the Paper of Record	cuid4692
MSS.276	1ebd867c3ac69f91cb826de58d2205d1	/repositories/3/archival_objects/732943	3, Digitized Access Files	88, cuid4693	""	"Episode 88: Noam Chomsky Reads The New York Times: ""Seeking Peace In the Middle East"""	cuid4693
MSS.276	b512ef026c61efdb6967267666f294ed	/repositories/3/archival_objects/732944	3, Digitized Access Files	96, cuid4694	""	Episode 96: Nidia Bustos on MECATE: How Campesinos are Creating Theatre and Art in Revolutionary Nicaragua	cuid4694
MSS.276	bf04ff5e4275094e810df4c3af66516a	/repositories/3/archival_objects/732945	3, Digitized Access Files	99, cuid4695	""	Episode 99: Leonard Siegal Reads Aviation Week: Paper Tiger Takes to the Wild Blue Yonder	cuid4695
MSS.276	21ff67b7caa22a3c92f298098bd0682e	/repositories/3/archival_objects/732946	3, Digitized Access Files	103, cuid4696	""	Episode 103: Michele Mattelart Reads The Chilean Press Avant Coup: “Everyday It Gets Harder to Be a Good Housewife”	cuid4696
MSS.276	4936ccf58e5538086ce7d79b3d973734	/repositories/3/archival_objects/732947	3, Digitized Access Files	106, cuid4697	""	Episode 106: Ed Herman and The Famous Pope Plot: Who Dunnit?	cuid4697
MSS.276	7e80c0b6d201d8a340f3dc294fb6f443	/repositories/3/archival_objects/732948	3, Digitized Access Files	108, 107/108, cuid4698	""	Episode 108: Under Siege: Palestinians in the U.S. Media	cuid4698
MSS.276	af28ad83b6544d9bd5077613b01a78fd	/repositories/3/archival_objects/732949	1, Digitized Access Files	109, cuid4699	""	Episode 109: Michael Chanan on Reuters: From Carrier Pigeons to Orbiting Birds	cuid4699
MSS.276	4f291888991140e7662666e749b931cc	/repositories/3/archival_objects/732950	1, Digitized Access Files	114, cuid4700	""	Episode 114: Thulani Davis Asks Why Howard Beach?: Racial Violence and the Media	cuid4700
